base_model_label,short_label,family,params_b,question_id,single_shot_chars,agentic_chars,delta_chars,agentic_human_quality_score,agentic_answer_acceptance,agentic_primary_failure_tag,agentic_secondary_failure_tag,agentic_human_judge_notes,agentic_blocking_bad_case,agentic_blocking_reasons,agentic_repetitive_or_truncated
Qwen3.5 4B,Qwen 4B,Qwen3.5,4.0,s30_030,557,571,14,1.0,2.0,none,none,"Covers Registration Result, advisor approval, changes, and student responsibility.",no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_001,594,356,-238,0.75,1.0,missing_key_condition,none,Omits the possible in-class reassessment.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_002,856,984,128,1.0,2.0,none,none,"Covers late registration, SAVE/results, advisor approval, and the fee.",no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_003,971,1491,520,1.0,2.0,none,none,Covers the key rules and consequences.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_004,1124,1030,-94,1.0,2.0,none,none,Cautiously explains approval review and limits.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_005,756,1290,534,0.75,2.0,verbose_low_quality,over_answering,Useful but includes irrelevant major-declaration and graduation details.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_006,815,1498,683,0.625,1.0,unsupported_claim,missing_key_condition,"Contains useful EAG, medical, and CoE information but adds obsolete or irrelevant procedures.",no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_007,1192,794,-398,0.5,1.0,over_answering,unsupported_claim,Claims privacy or anonymous consultation not established by the retrieved evidence.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_008,603,823,220,0.625,1.0,unsupported_claim,missing_key_condition,Misidentifies the official page as syllabus sections.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_009,746,1001,255,1.0,2.0,none,none,"Covers expiration, forwarding, backup, and new account.",no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_010,487,792,305,0.75,1.0,missing_key_condition,over_answering,Clear but omits first-class reassessment and contact guidance.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_011,993,510,-483,1.0,2.0,none,none,Gives campus-life classification and relevant schedule places.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_012,1159,1280,121,1.0,2.0,none,none,Covers timing and late-registration fee/procedure.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_013,633,1085,452,0.625,1.0,over_answering,unsupported_claim,Gives an unsupported 130-minus-transfer-credits calculation.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_014,349,153,-196,1.0,2.0,none,none,Concise contact and e-handbook guidance.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_015,831,534,-297,1.0,2.0,none,none,Cautious and identifies Portal notices as the deadline source.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_016,492,355,-137,0.75,1.0,unsupported_claim,none,Incorrectly directs to Moodle rather than the course or syllabus record.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_017,774,1337,563,1.0,2.0,none,none,Complete and clearly split by term.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_018,292,242,-50,1.0,2.0,none,none,Lists courses and gives J2 and Special Kanji context.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_019,606,550,-56,1.0,2.0,none,none,"Covers selection not enough, approval, Registration Result, and SAVE.",no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_020,995,959,-36,1.0,2.0,none,none,Complete and clearly directs to the official guide.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_021,371,1050,679,0.875,2.0,over_answering,none,Covers key requirements but also adds broader thesis and GE claims.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_022,400,213,-187,1.0,2.0,none,none,Correctly identifies Introduction to Christianity.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_023,467,352,-115,1.0,2.0,none,none,Covers PE and language requirements.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_024,372,295,-77,0.75,1.0,missing_key_condition,over_answering,Lists PE requirements without the evidence limitation and adds teacher-certification detail.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_025,279,363,84,1.0,2.0,none,none,Covers the key AI-use limits and states that individual judgment may be needed.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_026,252,411,159,1.0,2.0,none,none,Correctly limits use to authorized policy-compliant use and notes the E-grade consequence.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_027,294,173,-121,1.0,2.0,none,none,Correctly states unauthorized AI use and AI-as-own-work are violations with an E grade.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_028,259,345,86,1.0,2.0,none,none,Lists the retrieved Kaburagi courses and excludes an irrelevant course.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_029,134,152,18,1.0,2.0,none,none,Correctly lists the Kaburagi courses found in that retrieved set.,no,,no
Qwen3.5 9B,Qwen 9B,Qwen3.5,9.0,s30_030,576,635,59,1.0,2.0,none,none,Covers the complete check procedure and student responsibility.,no,,no
